"well","coat_protein_name","coat_protein_ug","coat_protein_source","primary_mab_name","primary_mab_clone","primary_mab_conc","secondary_mab_name","secondary_mab_dil","od450"
"A01","sBACE",0.2,"NS0","aBACE","6626.1",10,"goat-aHuman","1to5000",1.396
"A02","sBACE",0.2,"NS0","aBACE","6626.1",10,"goat-aHuman","1to5000",1.17
"A03","sBACE",0.2,"NS0","aBACE","6626.1",10,"goat-aHuman","1to5000",1.299
"A04","sBACE",0.2,"NS0","aSARS","CC6.29",10,"goat-aHuman","1to5000",1.324
"A05","sBACE",0.2,"NS0","aSARS","CC6.29",10,"goat-aHuman","1to5000",1.17
"A06","sBACE",0.2,"NS0","aSARS","CC6.29",10,"goat-aHuman","1to5000",1.299
"B01","sBACE",0.2,"NS0","aBACE","6626.1",2.5,"goat-aHuman","1to5000",1.374
"B02","sBACE",0.2,"NS0","aBACE","6626.1",2.5,"goat-aHuman","1to5000",1.283
"B03","sBACE",0.2,"NS0","aBACE","6626.1",2.5,"goat-aHuman","1to5000",1.299
"B04","sBACE",0.2,"NS0","aSARS","CC6.29",2.5,"goat-aHuman","1to5000",1.339
"B05","sBACE",0.2,"NS0","aSARS","CC6.29",2.5,"goat-aHuman","1to5000",1.283
"B06","sBACE",0.2,"NS0","aSARS","CC6.29",2.5,"goat-aHuman","1to5000",1.299
"C01","sBACE",0.2,"NS0","aBACE","6626.1",0.625,"goat-aHuman","1to5000",1.181
"C02","sBACE",0.2,"NS0","aBACE","6626.1",0.625,"goat-aHuman","1to5000",1.111
"C03","sBACE",0.2,"NS0","aBACE","6626.1",0.625,"goat-aHuman","1to5000",1.159
"C04","sBACE",0.2,"NS0","aSARS","CC6.29",0.625,"goat-aHuman","1to5000",1.138
"C05","sBACE",0.2,"NS0","aSARS","CC6.29",0.625,"goat-aHuman","1to5000",1.111
"C06","sBACE",0.2,"NS0","aSARS","CC6.29",0.625,"goat-aHuman","1to5000",1.159
"D01","sBACE",0.2,"NS0","aBACE","6626.1",0.15625,"goat-aHuman","1to5000",0.844
"D02","sBACE",0.2,"NS0","aBACE","6626.1",0.15625,"goat-aHuman","1to5000",0.758
"D03","sBACE",0.2,"NS0","aBACE","6626.1",0.15625,"goat-aHuman","1to5000",0.747
"D04","sBACE",0.2,"NS0","aSARS","CC6.29",0.15625,"goat-aHuman","1to5000",0.791
"D05","sBACE",0.2,"NS0","aSARS","CC6.29",0.15625,"goat-aHuman","1to5000",0.758
"D06","sBACE",0.2,"NS0","aSARS","CC6.29",0.15625,"goat-aHuman","1to5000",0.747
"E01","sBACE",0.2,"NS0","aBACE","6626.1",0.0390625,"goat-aHuman","1to5000",0.513
"E02","sBACE",0.2,"NS0","aBACE","6626.1",0.0390625,"goat-aHuman","1to5000",0.404
"E03","sBACE",0.2,"NS0","aBACE","6626.1",0.0390625,"goat-aHuman","1to5000",0.399
"E04","sBACE",0.2,"NS0","aSARS","CC6.29",0.0390625,"goat-aHuman","1to5000",0.413
"E05","sBACE",0.2,"NS0","aSARS","CC6.29",0.0390625,"goat-aHuman","1to5000",0.404
"E06","sBACE",0.2,"NS0","aSARS","CC6.29",0.0390625,"goat-aHuman","1to5000",0.399
"F01","sBACE",0.2,"NS0","aBACE","6626.1",0.009765625,"goat-aHuman","1to5000",0.253
"F02","sBACE",0.2,"NS0","aBACE","6626.1",0.009765625,"goat-aHuman","1to5000",0.322
"F03","sBACE",0.2,"NS0","aBACE","6626.1",0.009765625,"goat-aHuman","1to5000",0.197
"F04","sBACE",0.2,"NS0","aSARS","CC6.29",0.009765625,"goat-aHuman","1to5000",0.191
"F05","sBACE",0.2,"NS0","aSARS","CC6.29",0.009765625,"goat-aHuman","1to5000",0.322
"F06","sBACE",0.2,"NS0","aSARS","CC6.29",0.009765625,"goat-aHuman","1to5000",0.197
"G01","sBACE",0.2,"NS0","aBACE","6626.1",0.00244140625,"goat-aHuman","1to5000",0.197
"G02","sBACE",0.2,"NS0","aBACE","6626.1",0.00244140625,"goat-aHuman","1to5000",0.252
"G03","sBACE",0.2,"NS0","aBACE","6626.1",0.00244140625,"goat-aHuman","1to5000",0.095
"G04","sBACE",0.2,"NS0","aSARS","CC6.29",0.00244140625,"goat-aHuman","1to5000",0.15
"G05","sBACE",0.2,"NS0","aSARS","CC6.29",0.00244140625,"goat-aHuman","1to5000",0.252
"G06","sBACE",0.2,"NS0","aSARS","CC6.29",0.00244140625,"goat-aHuman","1to5000",0.095
"H01","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.044
"H02","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.043
"H03","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.044
"H04","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.043
"H05","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.044
"H06","sBACE",0.2,"NS0","blank",NA,0,"goat-aHuman","1to5000",0.043
"H07",NA,NA,NA,NA,NA,NA,NA,"1to5000",NA
"H08",NA,NA,NA,NA,NA,NA,NA,"1to5000",NA
